,0
VetRepository,0
Vet,0
Vets,0
WelcomeController,0
VetController,0
BaseEntity,1
Person,1
Specialty,1
package-info,1
NamedEntity,1
VisitController,2
Visit,2
VisitRepository,2
PetController,2
PetValidator,2
CacheConfiguration,2
PetType,2
PetTypeFormatter,2
Pet,2
PetRepository,2
PetClinicApplication,2
Owner,2
OwnerController,2
CrashController,2
OwnerRepository,2
